"","A549.Mock.A","A549.Mock.B","A549.Mock.C","A549.Virus.A","A549.Virus.B","A549.Virus.C","A549.KO3.Mock.A","A549.KO3.Mock.B","A549.KO3.Mock.C","A549.KO3.Virus.A","A549.KO3.Virus.B","A549.KO3.Virus.C"
"TC19002723.hg.1",7.19833300159194,7.15413387239193,7.0962773672674,7.24974829550639,7.28340810779807,7.0660700088514,7.08783166121757,7.24839796603485,6.86088373479969,6.91031123723674,6.96545101792869,7.13756318920286
"TC08000139.hg.1",4.17206404459042,4.02348119385474,3.83323125581268,4.19407522599723,4.18487046477881,4.00053449798637,4.1294702095217,4.10179715368325,3.64585675924519,3.77095964461259,3.73333654924838,3.96782282934784
"TC18000433.hg.1",7.3759775192039,7.39505621115791,7.42576768450658,6.91915126336492,6.9516293497004,7.26577164273044,8.39941133666309,8.32955811493821,8.71370846827169,8.55589367996408,8.63294053979057,8.47507720936626
"TC01006240.hg.1",6.95033090838,7.38498460770185,7.41695090535697,6.53864550969305,6.23625036128846,7.18577951947177,7.09685628383773,6.98436202370594,7.53352035507154,7.01629793692482,6.78850074854068,6.76623203106869
"TC14002329.hg.1",6.99568076616285,7.0213402501502,7.05784865535366,7.09121227612221,7.08606878285655,7.39637725757072,7.21098489142372,7.18172391050323,7.55746117934604,7.52455864103226,7.50436204664479,7.45651889948521
"TC11002820.hg.1",2.67754542204736,2.92704226124867,2.66938298471741,2.59285987732791,2.79163265255557,3.02673359336144,2.80860379041771,2.53090793322222,2.94163757409504,2.38446611390592,2.77973138863789,2.59544010766578
"TC15000048.hg.1",5.21242264480776,5.43306948750589,5.63974158015375,5.09171618213774,5.23744783895905,5.76395499104549,6.21630108251528,5.87379956726439,6.35448495332783,6.14798688852201,5.99278989784868,5.84077488338201
"TC15000049.hg.1",7.14301590311677,7.28055488831036,7.36467426205412,6.92260569127902,7.15296310250036,7.6015884112431,8.1199840352198,7.57285820209098,8.02492309362044,7.75725044180114,7.76341321501591,7.50614782940598
"TC15000054.hg.1",7.42971821948738,7.67704803899011,7.6812913196052,7.26791474968041,7.51477443192999,7.90945557930335,8.32837529352153,7.95891484612243,8.3943943381977,8.02555482694954,8.19712053206456,7.71187607802019
"TC15000057.hg.1",4.5149450593634,4.475000565312,4.58810564469484,4.5507708877019,4.93491695771965,4.61952513698259,4.82571397660504,4.80378590529145,5.00149357741638,4.92712794388242,4.80799446869438,4.53252645118822
"TC15000058.hg.1",3.09083794145506,3.23602634532687,3.55055370949146,3.27773791663847,3.31604989937877,3.79688697034252,4.13599153268312,3.51103424054083,3.87458438642599,3.72696731240875,3.60969419208615,3.45107015250198
"TC15000059.hg.1",3.32828366426906,3.75966945027726,4.05091474766902,3.54065159288553,3.79127800953324,4.15082406633372,4.63188435934022,4.41096652310109,4.38063087171438,4.39222702586879,4.12021897900655,4.14524873857096
"TC15000060.hg.1",8.27621103396388,8.6047691252698,8.73400536989833,8.32332573537837,8.48477021869586,8.85751759091475,9.26122650752995,8.9472986507162,9.16879187339496,9.08253234747766,8.95943327216094,8.62335856458634
"TC15000061.hg.1",10.2808638465686,10.4306932190132,10.5845478042268,10.2355702779332,10.3925802560357,10.5903837062038,10.924489315606,10.7823144987073,10.8845887884008,10.8657423348482,10.7132565399385,10.4719332888684
"TC15000062.hg.1",5.13036590669138,5.17855565291439,5.32610489521165,4.97120818926902,5.10772299575707,5.30977791232473,5.82030705017908,5.59605530498708,5.61424684638056,5.50220098074064,5.50859046726606,5.27981768580957
"TC15000064.hg.1",9.88423781223102,9.94853826930783,10.0869784168865,9.67912232353418,9.86132205267481,10.0847367167266,10.4543265965739,10.2711021989272,10.3179169099227,10.258744516518,10.1446811907162,9.98845562507506
"TC15000066.hg.1",8.68983463367982,8.74401076680141,8.98451435180996,8.57602515832666,8.87264847687849,9.08217768766233,9.37184863793856,9.23017746695648,9.39279729769302,9.12483939361045,9.09370231251041,8.91942403220371
"TC15000067.hg.1",9.32026990342189,9.45182189154218,9.53961149567432,9.24165212965263,9.33130522765363,9.58197086417739,9.93722351337424,9.84197985939249,9.87157993124624,9.78629749338822,9.75131095193734,9.65086109751605
