"","A549.Mock.A","A549.Mock.B","A549.Mock.C","A549.Virus.A","A549.Virus.B","A549.Virus.C","A549.KO3.Mock.A","A549.KO3.Mock.B","A549.KO3.Mock.C","A549.KO3.Virus.A","A549.KO3.Virus.B","A549.KO3.Virus.C"
"CDH2",7.3759775192039,7.39505621115791,7.42576768450658,6.91915126336492,6.9516293497004,7.26577164273044,8.39941133666309,8.32955811493821,8.71370846827169,8.55589367996408,8.63294053979057,8.47507720936626
"SNORD116-1",5.21242264480776,5.43306948750589,5.63974158015375,5.09171618213774,5.23744783895905,5.76395499104549,6.21630108251528,5.87379956726439,6.35448495332783,6.14798688852201,5.99278989784868,5.84077488338201
"SNORD116-2",7.14301590311677,7.28055488831036,7.36467426205412,6.92260569127902,7.15296310250036,7.6015884112431,8.1199840352198,7.57285820209098,8.02492309362044,7.75725044180114,7.76341321501591,7.50614782940598
"SNORD116-8",7.42971821948738,7.67704803899011,7.6812913196052,7.26791474968041,7.51477443192999,7.90945557930335,8.32837529352153,7.95891484612243,8.3943943381977,8.02555482694954,8.19712053206456,7.71187607802019
"SNORD116-12",3.09083794145506,3.23602634532687,3.55055370949146,3.27773791663847,3.31604989937877,3.79688697034252,4.13599153268312,3.51103424054083,3.87458438642599,3.72696731240875,3.60969419208615,3.45107015250198
"SNORD116-13",3.32828366426906,3.75966945027726,4.05091474766902,3.54065159288553,3.79127800953324,4.15082406633372,4.63188435934022,4.41096652310109,4.38063087171438,4.39222702586879,4.12021897900655,4.14524873857096
"SNORD116-14",8.27621103396388,8.6047691252698,8.73400536989833,8.32332573537837,8.48477021869586,8.85751759091475,9.26122650752995,8.9472986507162,9.16879187339496,9.08253234747766,8.95943327216094,8.62335856458634
"SNORD116-23",8.68983463367982,8.74401076680141,8.98451435180996,8.57602515832666,8.87264847687849,9.08217768766233,9.37184863793856,9.23017746695648,9.39279729769302,9.12483939361045,9.09370231251041,8.91942403220371
"SNORD115-6",2.58590848751661,2.22366958210059,2.65773155713791,3.04696786802522,2.94797069823035,3.11140293497173,2.73703500191139,2.59898633694863,2.53348388405419,2.78209634726135,3.03405220791813,2.96341894112389
"SNORD115-40",2.16578504200066,2.28412785470305,2.452529253568,2.73845369106292,2.71660334501437,2.80100898234244,2.26732278550231,2.42557295230898,2.47257450376818,3.30084614283334,3.19586444725451,2.54137290330779
"SNORD116-29",4.4625336367019,4.42941178941922,4.63470603809325,4.49810985303319,4.52989629399701,5.06908271003245,5.18198867177805,5.02913408012321,5.17060316346495,5.02317566871971,5.04921142970827,5.18264092735532
"ZBTB33",7.8949927179183,7.89815793335824,7.79433239756221,8.25126543392808,8.2947087475258,8.63616841010819,7.93784156253718,7.78871530247868,8.1862663481322,8.59995834037968,8.69547631710474,8.45957941375456
"SNHG8",7.38750345192985,7.14420348688282,7.50846265422483,7.45464491774763,7.3548232955149,7.63784509802706,7.82779930306406,7.74486077183405,7.99038453750646,7.94012332447327,8.01485573774876,7.64352314699533
"GTF2IP4",9.51068893795266,9.72788469611316,9.76120673382745,9.13839849828553,9.03513330568218,9.3617934688805,10.4363911635544,10.3867306559715,10.6887688395028,10.3748104213729,10.2157264997092,10.2741320364281
"HAVCR1P1",7.70675819170353,7.84589360727245,7.84808073038135,7.81745668757849,7.79619453371799,7.93796026271108,7.1815276080486,6.82269825685204,7.17448815338851,7.83902657812018,7.55200308360871,7.5944448479575
"MCTS2P",5.3195238610163,5.52925389734372,5.21325263750847,5.36277309328188,5.55500987038488,5.5135818962381,5.535572872341,5.75167878772003,5.86435290870144,5.88608924393042,6.18744105179882,5.93247675979502
"C8orf88",4.74475089824337,4.78633579682829,4.83583202008892,4.69741475168554,4.56556024767824,5.02083369253071,4.27759507996061,4.11009084841967,4.27931744212853,4.35293795815247,4.33664155587183,4.1606896316021
"LOC100129034",7.82278032338573,7.80650507403642,7.96035352222239,7.62677030723613,7.68539692853986,7.70120199945784,7.314941808049,7.40805973706625,7.56019274131812,7.19895133528727,7.22127252298656,7.05147884209552
"DPY19L1P1",7.79913432051841,7.9057796643777,7.88516598801687,7.71697788061541,7.65361077625735,7.97349815986954,8.16241514166342,8.1603380434059,8.2289990447262,8.54699895979361,8.31830308144641,8.40058395538533
"LINC02035",6.47812058556476,6.22560743734461,6.51361428915832,5.05260977073753,5.15368418106563,5.74603948339495,6.67188306150017,6.65398505124174,6.88097566288967,6.40336221183408,6.32631180478926,6.07942093260522
"LINC01460",5.3041053129661,5.28311391319555,5.28773676105711,5.22600879298012,5.17244749466959,5.07449717300188,4.71684778324143,4.91555080967238,4.64760443059418,4.67884407789197,4.99711771867668,4.76746351354908
"LOC100130111",7.11680179336235,6.98581281986834,7.08986867599712,6.63472992914607,6.70794124527009,6.80210235145044,7.3730300350238,7.4436900167151,7.62908779509431,7.30673263005321,7.19390925159484,7.18250475308805
"PSORS1C3",4.8443236875937,4.81627504420086,4.72575119893232,5.116778184046,5.08296423731533,5.29129707514739,4.59576736573471,4.07935453117198,4.75773232639744,4.76875599943422,4.29151637544438,4.50428832185081
"USP30-AS1",5.5950501340347,5.09465459514523,5.38532422996435,5.93609737069539,5.99288516272453,5.73667844365944,5.56911613777586,5.3586814257714,5.29571576260293,6.28532228412736,6.43030736825336,6.16960999668565
"PAXIP1-AS2",5.83406894557602,5.84160425467744,5.78060424433484,6.33044291485963,6.396687549613,6.51819209690847,6.10881181981488,5.9934233854966,6.17327906878056,7.24478492617931,7.29711779906289,7.05852320168313
"KDM7A-DT",6.01756878173703,6.2399027106816,6.16343782859884,6.79178128525044,6.87131878928442,6.97769348346853,6.27967971294784,5.79164224009165,6.02544311503288,6.24314738533378,6.27340272805988,5.98498801558988
"RNU6ATAC",6.10613335865196,6.09768672849483,6.17311542956465,6.59383567691238,6.7945295644557,7.02057615865366,6.04147721467492,6.06820297953741,6.07158958994058,6.53734055479081,6.44440245514215,6.40870364730869
"SNAR-C4",8.28647406750748,8.21034349326279,8.25533953541082,8.60484627332829,8.81524506641063,8.3406800790505,7.94911592903679,7.846765937861,7.66770286645735,8.04222060576786,8.03606543573381,7.96908358667759
"SNAR-C3",8.28645498881766,8.23611878209995,8.26360620843431,8.51605017163458,8.75120198836938,8.33785697329479,7.9419694596244,7.85146375025989,7.69292347119789,8.02593255164391,7.93373923412434,7.96273661850324
"LOC100190986",7.87957003353217,8.05864841245923,8.06294019997264,7.71611660135074,7.67435710022199,7.9137053656931,8.20475112895076,8.42202083875777,8.42559468198754,8.40034125674034,8.31444529048706,8.11701634259267
