"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-191273","Cholesterol biosynthesis","12/1261","25/10616",8.82972094427616e-06,0.0103186759793571,0.00994512538869684,"ACAT2/MVD/EBP/HSD17B7/HMGCS1/FDFT1/GGPS1/SQLE/FDPS/DHCR7/HMGCR/TM7SF2",12
"R-HSA-373760","L1CAM interactions","31/1261","119/10616",1.54125107981436e-05,0.0103186759793571,0.00994512538869684,"CNTN1/CHL1/SCN9A/NRP2/EGFR/NRP1/SRC/RPS6KA5/SPTBN1/EPHB2/ITGA5/TUBB6/CD24/ANK3/TUBB2B/NRCAM/TUBB4B/PAK1/DPYSL2/RDX/TUBB2A/ALCAM/ANK1/ITGB1/RPS6KA1/TUBB8/ITGA10/SCN5A/LAMB1/CSNK2A2/ITGAV",31
"R-HSA-1566948","Elastic fibre formation","16/1261","45/10616",3.18758814123293e-05,0.0106790872958257,0.0102924893083466,"FN1/BMP4/FBLN1/EFEMP1/TGFB2/LOXL2/LTBP1/BMP7/FBN2/ITGA5/TGFB1/ITGB8/ITGB5/FBN1/ITGB1/ITGAV",16
"R-HSA-1474244","Extracellular matrix organization","60/1261","301/10616",3.19016797485456e-05,0.0106790872958257,0.0102924893083466,"FGB/FGA/FGG/CEACAM6/SPP1/FN1/ADAMTS9/MMP7/LAMC2/LUM/ITGB4/BMP4/FGF2/VCAN/FBLN1/EFEMP1/P3H2/TGFB2/LOXL2/SERPINE1/ITGA3/LAMA3/TIMP2/CEACAM1/LTBP1/CAST/COL5A2/BMP7/NCSTN/COL4A1/COL4A2/FBN2/ITGA5/TGFB1/CDH1/CAPN2/CD44/THBS1/NTN4/SERPINH1/P3H1/PLOD1/ADAM10/COLGALT1/PRKCA/ITGA6/ITGB8/ITGB5/BSG/COL4A4/FBN1/PXDN/ITGB1/PCOLCE2/ITGA10/P4HB/LAMB1/CTSB/ADAM19/ITGAV",60
"R-HSA-8957275","Post-translational protein phosphorylation","28/1261","108/10616",4.30771927769763e-05,0.0108657215449551,0.01047236713503,"FGA/FGG/SPP1/FN1/ITIH2/STC2/CP/CDH2/IGFBP7/BMP4/VCAN/C3/IGFBP3/LTBP1/CCN1/MFGE8/CHGB/EVA1A/CSF1/ADAM10/DNAJC3/FBN1/PRKCSH/MIA3/P4HB/LAMB1/APOL1/FUCA2",28
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","85/1261","473/10616",4.86888194695523e-05,0.0108657215449551,0.01047236713503,"FLRT3/CYFIP2/IRS2/ELMO1/HGF/SPP1/NRG1/FN1/BAX/LAMC2/SOCS6/NRP2/EGFR/KITLG/FGF2/TGFA/NRG4/JUP/ITGA3/NRP1/AXL/LAMA3/PDE3B/BDNF/SRC/NEDD4/DUSP6/RPS6KA5/COL5A2/SHB/PDGFC/PTK2B/NCSTN/NCK2/COL4A1/COL4A2/STAT6/PTPRJ/NTRK3/SPRY1/KRAS/WASF3/GRB10/ATP6V0D1/DOCK3/PXN/WWOX/THBS1/STAT3/STAT1/SH2B3/PRKACB/ADAM10/PRKCA/RALB/PAK1/ATP6V0A4/IRS1/STMN1/PPP2R1A/ATP6AP1/COL4A4/ARF6/NCKAP1/CAV1/BAIAP2/PGR/ITGB1/ROCK2/TNS3/WWP1/RPS6KA1/TNS4/SH3KBP1/LAMB1/BRAF/VAV3/PDGFD/LRIG1/POLR2C/ITGAV/VAV1/GAB1/DUSP4/PTPN12",85
"R-HSA-2129379","Molecules associated with elastic fibres","14/1261","38/10616",6.30870466333934e-05,0.0120676507774448,0.011630784837976,"FN1/BMP4/FBLN1/EFEMP1/TGFB2/LTBP1/BMP7/FBN2/TGFB1/ITGB8/ITGB5/FBN1/ITGB1/ITGAV",14
"R-HSA-216083","Integrin cell surface interactions","23/1261","85/10616",0.000100432752244413,0.0153152395920981,0.0147608063676052,"FGB/FGA/FGG/SPP1/FN1/LUM/ITGA3/COL5A2/COL4A1/COL4A2/ITGA5/CDH1/CD44/THBS1/ITGA6/ITGB8/ITGB5/BSG/COL4A4/FBN1/ITGB1/ITGA10/ITGAV",23
"R-HSA-3000171","Non-integrin membrane-ECM interactions","18/1261","59/10616",0.000106431488962216,0.0153152395920981,0.0147608063676052,"FN1/LAMC2/ITGB4/FGF2/LAMA3/COL5A2/COL4A1/COL4A2/TGFB1/THBS1/NTN4/PRKCA/ITGA6/ITGB5/COL4A4/ITGB1/LAMB1/ITGAV",18
"R-HSA-202733","Cell surface interactions at the vascular wall","32/1261","137/10616",0.000114378189634788,0.0153152395920981,0.0147608063676052,"CEACAM6/FN1/TSPAN7/TNFRSF10D/TNFRSF10B/ITGA3/CEACAM1/SRC/SLC7A5/PROCR/PROS1/KRAS/ITGA5/TGFB1/CD99L2/CD44/SLC3A2/SLC7A7/CEACAM5/ITGA6/SLC7A11/ATP1B1/PSG4/SIRPA/BSG/TNFRSF10A/CAV1/ITGB1/MERTK/OLR1/PSG1/ITGAV",32
