"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC01000003.hg.1","OR4F5","79501","olfactory receptor family 4 subfamily F member 5",-0.275018936120935,4.01114728372192,-1.97455083724551,0.0684429835339718,0.126887656823508,-5.65711361631918
"2","TC01000021.hg.1","KLHL17","339451","kelch like family member 17",-0.209355920513749,7.3663309702996,-2.33851263521521,0.0347642840868823,0.0817041425237251,-5.0295002152208
"3","TC01000022.hg.1","PLEKHN1","84069","pleckstrin homology domain containing N1",-0.263181021171961,7.57674188091607,-2.99584312568417,0.0096570763107757,0.0322994366059747,-3.79417288546872
"4","TC01000023.hg.1","ISG15","9636","ISG15 ubiquitin like modifier",-0.126518983289495,8.22675230309944,-1.15292941342607,0.268301844538325,0.337764823439137,-6.81493136326897
"5","TC01000027.hg.1","MIR200B","406984","microRNA 200b",-0.205691142382024,6.01613270490101,-1.90887390353768,0.0770551723486778,0.136908533432465,-5.76429230056971
"6","TC01000028.hg.1","MIR200A","406983","microRNA 200a",-0.334371447533256,4.21865268331595,-2.67819391801223,0.0180460419598826,0.0516952444821934,-4.40341659147396
"7","TC01000029.hg.1","MIR429","554210","microRNA 429",0.0177018365732247,4.26382851230257,0.145204590191712,0.886625282630626,0.9053770766731,-7.48184720556241
"8","TC01000030.hg.1","TTLL10","254173","tubulin tyrosine ligase like 10",-0.203915986314289,7.28217787554848,-2.19382074380994,0.0456800727453743,0.0982811630176665,-5.28526468839608
"9","TC01000033.hg.1","PUSL1","126789","pseudouridine synthase like 1",-0.194552790758298,7.3925544825673,-2.30772486165487,0.0368575367391293,0.0851447880676015,-5.08454267551804
"10","TC01000035.hg.1","TAS1R3","83756","taste 1 receptor member 3",-0.138038606482067,7.27551326090586,-1.60358549027759,0.131186367378409,0.195979531495078,-6.23264218677703
"11","TC01000038.hg.1","TMEM88B","643965","transmembrane protein 88B",-0.181018722449741,8.29491997094973,-1.62529713316964,0.126457173842811,0.190875038894143,-6.20110365399202
"12","TC01000048.hg.1","MMP23A","8511","matrix metallopeptidase 23A (pseudogene)",-0.216533065531512,7.46090489980243,-2.64271361986011,0.0193399973928896,0.0544891548822429,-4.47022934142195
"13","TC01000052.hg.1","CALML6","163688","calmodulin like 6",-0.174317922374582,6.97982282549622,-1.45517672525055,0.167739909781546,0.234320342820779,-6.44017120489096
"14","TC01000053.hg.1","GABRD","2563","gamma-aminobutyric acid type A receptor delta subunit",-0.247393852150788,7.42271282455028,-2.76546809536078,0.0152107320746231,0.0455708893682422,-4.2378976663181
"15","TC01000061.hg.1","TNFRSF14","8764","TNF receptor superfamily member 14",-0.19188808061643,6.83837803826648,-1.8327712783022,0.0882506620277369,0.149386776746399,-5.88580810760387
"16","TC01000064.hg.1","PRXL2B","127281","peroxiredoxin like 2B",-0.150572582618507,7.86860470584733,-1.74907429671956,0.102223104128666,0.165135088107893,-6.01592922047043
"17","TC01000066.hg.1","ACTRT2","140625","actin related protein T2",-0.168137826241478,6.48220737186573,-1.63924375659607,0.123497628024322,0.187992987923993,-6.18069244760195
"18","TC01000068.hg.1","MIR4251","100422968","microRNA 4251",-0.282726829775791,3.8658796422948,-1.29141852278277,0.217535556630069,0.285564501009418,-6.65167709110577
"19","TC01000069.hg.1","ARHGEF16","27237","Rho guanine nucleotide exchange factor 16",-0.209165140922129,6.92519433517928,-2.19375089765994,0.0456860442387898,0.0982811630176665,-5.28538629395319
"20","TC01000071.hg.1","TP73","7161","tumor protein p73",-0.1652493450237,7.22566213724805,-1.56932757689289,0.138957524439238,0.204620318194757,-6.28180936387281
"21","TC01000072.hg.1","CCDC27","148870","coiled-coil domain containing 27",-0.122516439214451,6.28813892014777,-1.14355637144833,0.272041880773754,0.341401997916674,-6.82543446897724
"22","TC01000073.hg.1","SMIM1","388588","small integral membrane protein 1 (Vel blood group)",-0.132220513705287,7.65001031027939,-1.34477383395876,0.200143757324497,0.268056256932303,-6.58488525687358
"23","TC01000077.hg.1","LINC01777","284661","long intergenic non-protein coding RNA 1777",-0.183859042646585,4.92980852277163,-1.72190616892386,0.107161747326809,0.170399287527092,-6.05733541279012
"24","TC01000081.hg.1","AJAP1","55966","adherens junctions associated protein 1",-0.0224134972563723,4.35433609692582,-0.167077901675904,0.869705090323022,0.891070567139094,-7.47820473408974
"25","TC01000084.hg.1","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",-0.237788439698109,7.73477188498408,-3.57287175870922,0.00307190493267763,0.0137537404041074,-2.6563418521001
"26","TC01000088.hg.1","ESPN","83715","espin",-0.168259228524573,7.48166571507638,-1.74272072017781,0.103359726991517,0.166326371509417,-6.02564984502179
"27","TC01000110.hg.1","CA6","765","carbonic anhydrase 6",-0.149979375793086,5.54453954311204,-1.73268077538618,0.105178546791255,0.168274105659705,-6.04096409328968
"28","TC01000113.hg.1","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",0.226863533043042,7.31049876807802,3.38995703363085,0.00441648522132444,0.0179330329991304,-3.01948739909131
"29","TC01000115.hg.1","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",-0.0666479639395909,7.89145076988855,-1.0068054271119,0.331163826972231,0.399108467773725,-6.97042949220032
"30","TC01000116.hg.1","SLC25A33","84275","solute carrier family 25 member 33",0.294734756317508,6.67236021544639,2.31061779676644,0.0366558888577692,0.0848980737955818,-5.07938439976186
"31","TC01000125.hg.1","UBE4B","10277","ubiquitination factor E4B",0.413631212076604,7.95914022267156,4.6269032275729,0.000394904251450281,0.00301374287435741,-0.574612117507408
"32","TC01000127.hg.1","KIF1B","23095","kinesin family member 1B",0.514455123688042,7.27426692455692,5.68187992438546,5.72894172675557e-05,0.000696572266797574,1.41309957923651
"33","TC01000139.hg.1","ANGPTL7","10218","angiopoietin like 7",-0.156704771183939,5.74057355017177,-1.62798114285082,0.125882894919443,0.190205605152921,-6.19718474458635
"34","TC01000145.hg.1","FBXO6","26270","F-box protein 6",0.0475633444978856,7.63496977506667,0.670401839415301,0.513541650883836,0.573251213515379,-7.2568107568938
"35","TC01000146.hg.1","DRAXIN","374946","dorsal inhibitory axon guidance protein",-0.177739698293055,6.49743305731849,-1.84071786009189,0.0870169801571635,0.148009001770027,-5.87325872771262
"36","TC01000151.hg.1","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.458345274768867,8.3440603300443,6.40449761164431,1.66551754633057e-05,0.000265843102456824,2.69290570067884
"37","TC01000154.hg.1","TNFRSF8","943","TNF receptor superfamily member 8",-0.152618511607222,6.84947554893236,-1.46908302382616,0.163985788080042,0.230535052567279,-6.42134197053554
"38","TC01000160.hg.1","AADACL3","126767","arylacetamide deacetylase like 3",-0.189134018751168,4.84631886457331,-1.59461840393666,0.133183538968717,0.198294452597583,-6.24558280587136
"39","TC01000163.hg.1","PRAMEF12","390999","PRAME family member 12",-0.285029905178781,5.66671054578294,-2.39692644831263,0.0310984733993955,0.0757033130701602,-4.9242079314718
"40","TC01000164.hg.1","PRAMEF1","65121","PRAME family member 1",-0.0175829849464089,4.5187870375439,-0.191813578237917,0.850650661400546,0.875556930212893,-7.47347347952724
"41","TC01000165.hg.1","PRAMEF2","65122","PRAME family member 2",-0.298279169575045,4.16173302468843,-2.09530272726422,0.0548649671051026,0.110146438446338,-5.45486323521428
"42","TC01000168.hg.1","PRAMEF22","653606","PRAME family member 22",-0.187568794727389,5.49587780133266,-1.24555781334472,0.233430373566874,0.302052315475354,-6.70738375677736
"43","TC01000178.hg.1","PRAMEF17","391004","PRAME family member 17",-0.131900623122684,5.46862729952323,-1.07614559630316,0.300111680648929,0.369573448622175,-6.89886026619279
"44","TC01000181.hg.1","PDPN","10630","podoplanin",-0.214053728600242,5.84389269310904,-2.09536016378277,0.0548591456025391,0.110146438446338,-5.45476551616057
"45","TC01000184.hg.1","KAZN","23254","kazrin, periplakin interacting protein",-0.196947108361699,6.64675786691832,-2.22274450951686,0.0432689903006295,0.0948052767261942,-5.23474705117108
"46","TC01000185.hg.1","TMEM51","55092","transmembrane protein 51",-0.47026351121077,6.95593749557887,-7.16060931596068,4.93685504974938e-06,0.000102397941816192,3.95577521686026
"47","TC01000187.hg.1","EFHD2","79180","EF-hand domain family member D2",-0.672860385621837,9.04025158749431,-9.44888216807347,1.92395241094734e-07,7.99539651920829e-06,7.3283977781083
"48","TC01000188.hg.1","CTRC","11330","chymotrypsin C",-0.185073091057465,6.67383251333435,-1.60412355768539,0.131067351163661,0.195852022362959,-6.23186409991742
"49","TC01000190.hg.1","DNAJC16","23341","DnaJ heat shock protein family (Hsp40) member C16",0.242178609910152,6.53785712066303,2.8444960178127,0.0130214622168018,0.0406759018401896,-4.08670500171126
"50","TC01000195.hg.1","SLC25A34","284723","solute carrier family 25 member 34",-0.198885696016975,7.16348113731764,-1.93193163522453,0.0739256347382493,0.133446895099949,-5.72690149851145
"51","TC01000196.hg.1","TMEM82","388595","transmembrane protein 82",-0.161240383064307,7.25529669708647,-1.77362460854873,0.0979342678985433,0.160366330040452,-5.97815721057528
"52","TC01000197.hg.1","FBLIM1","54751","filamin binding LIM protein 1",-0.188924709733846,6.81321202715421,-1.94004271737685,0.0728524351119066,0.132465126253911,-5.71368681002103
"53","TC01000198.hg.1","SPEN","23013","spen family transcriptional repressor",0.0395680137885641,7.93341409219489,0.446351929879827,0.662189432850545,0.710290951387255,-7.38742924803545
"54","TC01000200.hg.1","SRARP","149563","steroid receptor associated and regulated protein",-0.265559617333527,5.94013824032503,-2.89523356111432,0.0117818648544257,0.0375805316464082,-3.98904411272977
"55","TC01000206.hg.1","NECAP2","55707","NECAP endocytosis associated 2",-0.21496894641868,7.5015314087979,-2.83827954254515,0.013181868565991,0.0410887282705254,-4.09863994607148
"56","TC01000230.hg.1","PADI1","29943","peptidyl arginine deiminase 1",-0.192392484996279,6.44941029908496,-2.46540679391606,0.027269027456538,0.0691496372803911,-4.79941440842362
"57","TC01000231.hg.1","PADI3","51702","peptidyl arginine deiminase 3",0.438205269986578,7.40082140500025,5.89746898598204,3.93292480660004e-05,0.000523011577709692,1.80230063062667
"58","TC01000233.hg.1","PADI6","353238","peptidyl arginine deiminase 6",-0.181809811110189,5.63499409796811,-1.69579192635115,0.11210523990038,0.175816331483463,-6.09673831032302
